,postcode,year,Accident_risk
131,AB12 5QT,2012,1.428571429
132,AB12 5SJ,2012,1
133,AB12 5UL,2012,2.333333333
134,AB12 5UL,2013,2
135,AB12 5UT,2012,1
136,AB12 5UT,2013,1
137,AB12 5WF,2012,1.6
138,AB12 5WF,2013,2
139,AB12 5XA,2012,1
140,AB12 5XB,2012,1.333333333
141,AB12 5YN,2012,1.5
142,AB12 5YN,2013,1
143,AB12 9SA,2012,1.375
144,AB12 9SA,2013,1
145,AB14 0PS,2012,1.5
146,AB14 0PS,2013,1.333333333
147,AB14 0RR,2012,1.444444444
148,AB14 0RR,2013,1
149,AB14 0UQ,2012,1.6
150,AB15 4BP,2012,1.5
151,AB15 4TN,2013,1
152,AB15 4YD,2012,1.4
153,AB15 4YD,2013,2
154,AB15 5BX,2012,1.333333333
155,AB15 5WN,2012,1
156,AB15 6BT,2012,1.333333333
157,AB15 6BT,2013,1
158,AB15 6EE,2012,1.3
159,AB15 6EE,2013,1.5
160,AB15 6JB,2012,1
161,AB15 6XN,2012,1
162,AB15 6YX,2012,1.5
163,AB15 7RA,2012,1.333333333
164,AB15 7RF,2012,1.333333333
165,AB15 7UB,2012,1.333333333
166,AB15 7XY,2012,1
167,AB15 8AS,2012,1
168,AB15 8BQ,2012,1.142857143
169,AB15 8BQ,2013,1.333333333
170,AB15 8DP,2012,1.666666667
171,AB15 8DP,2013,1
172,AB15 8GG,2012,1.333333333
173,AB15 8GG,2013,2
174,AB15 8PD,2012,2.3
175,AB15 8PD,2013,1
176,AB15 8PG,2012,1.8
177,AB15 8PP,2012,1.454545455
178,AB15 8PP,2013,2
179,AB15 8PT,2012,1.714285714
180,AB15 8PT,2013,2
181,AB15 8PX,2012,1.666666667
182,AB15 8PX,2013,1.25
183,AB15 8QE,2012,1.5
184,AB15 8QS,2012,1.111111111
185,AB15 8QS,2013,1
186,AB15 8RL,2012,1.363636364
187,AB15 8RQ,2012,1.666666667
188,AB15 8RT,2012,1.625
189,AB15 8RT,2013,1.333333333
190,AB15 8SP,2013,1
191,AB15 8UL,2012,1.5
192,AB15 8UL,2013,1
193,AB15 9LD,2012,1.6
194,AB15 9LD,2013,1
195,AB15 9PN,2012,1
196,AB15 9RX,2012,1.25
197,AB15 9SN,2012,1.666666667
198,AB15 9SX,2012,1.5
199,AB16 5DP,2012,1
200,AB16 5HU,2012,3
201,AB16 5HU,2013,1
202,AB16 5JU,2012,1
203,AB16 5JU,2013,1
204,AB16 5LS,2012,2.333333333
205,AB16 5NH,2012,1.333333333
206,AB16 5QW,2012,2
207,AB16 5UA,2012,1.333333333
208,AB16 5UR,2012,2.333333333
209,AB16 5UW,2012,1.428571429
210,AB16 5UW,2013,1.5
211,AB16 6LP,2012,1.8
212,AB16 6QJ,2012,2.5
213,AB16 6QL,2012,1.5
214,AB16 6QL,2013,1.125
215,AB16 6QU,2012,1
216,AB16 6QU,2013,1
217,AB16 6RJ,2012,2
218,AB16 6RX,2012,1.25
219,AB16 6XE,2012,1
220,AB16 6XP,2012,1
221,AB16 7AW,2012,1.833333333
222,AB16 7GB,2012,1.2
223,AB16 7GD,2012,1.545454545
224,AB16 7LN,2012,2
225,AB16 7PA,2012,1.181818182
226,AB16 7PF,2012,1
227,AB16 7PG,2012,2
228,AB16 7PG,2013,1.5
229,AB16 7PH,2012,2
230,AB16 7XR,2012,2
231,AB21 0BU,2012,1
232,AB21 0EY,2012,1.5
233,AB21 0FY,2012,1.5
234,AB21 0HU,2012,2.25
235,AB21 0HU,2013,1.333333333
236,AB21 0LU,2012,1.571428571
237,AB21 0LU,2013,1.333333333
238,AB21 0NN,2012,1.25
239,AB21 0PN,2012,1.333333333
240,AB21 0PN,2013,1.428571429
241,AB21 0QS,2012,1.714285714
242,AB21 0QS,2013,2
243,AB21 0SH,2012,1
244,AB21 0SH,2013,1.333333333
245,AB21 0TD,2012,1
246,AB21 0TS,2012,1
247,AB21 0TT,2012,1.4
248,AB21 0TT,2013,3
249,AB21 0TU,2012,2
250,AB21 0TX,2012,1.714285714
251,AB21 0TX,2013,1
252,AB21 0UQ,2012,1.25
253,AB21 0UT,2012,1.166666667
254,AB21 7AG,2012,1.5
255,AB21 7AQ,2012,1
256,AB21 7AS,2013,1
257,AB21 7BJ,2012,3
258,AB21 7BL,2012,1
259,AB21 7BL,2013,1
260,AB21 7PA,2012,1
261,AB21 7PA,2013,1.666666667
262,AB21 7PQ,2013,1
263,AB21 7PW,2012,1.666666667
264,AB21 7XA,2012,1
265,AB21 9AU,2012,2.25
266,AB21 9AU,2013,1
267,AB21 9BB,2012,1.2
268,AB21 9BB,2013,2
269,AB21 9BE,2013,2
270,AB21 9BH,2012,1
271,AB21 9BH,2013,1
272,AB21 9DU,2012,1.2
273,AB21 9ED,2012,1
274,AB21 9EY,2012,1.5
275,AB21 9EY,2013,2
276,AB21 9HQ,2012,1
277,AB21 9HW,2012,1.5
278,AB21 9HW,2013,1
279,AB21 9ND,2012,1.333333333
280,AB21 9NN,2012,1
281,AB21 9NN,2013,1
282,AB21 9PR,2012,1.333333333
283,AB21 9PU,2012,2
284,AB21 9PU,2013,1.833333333
285,AB21 9SG,2012,1.923076923
286,AB21 9SG,2013,1
287,AB21 9SQ,2012,1.181818182
288,AB21 9SR,2012,1.375
289,AB21 9SR,2013,2
290,AB21 9TB,2012,1.6
291,AB21 9TJ,2012,1.636363636
292,AB21 9TN,2012,1.75
293,AB22 8HB,2012,1.125
294,AB22 8HB,2013,1
295,AB22 8NA,2012,1.333333333
296,AB22 8PB,2012,1.3
297,AB22 8PB,2013,1
298,AB22 8QR,2012,1.2
299,AB22 8QR,2013,2
300,AB22 8SL,2012,1
301,AB22 8SW,2012,1
302,AB22 8SW,2013,2
303,AB22 8TL,2012,1.555555556
304,AB22 8TL,2013,1
305,AB22 8TR,2012,1.5
306,AB22 8WQ,2012,1
307,AB22 8WQ,2013,1
308,AB22 8ZN,2012,1
309,AB22 8ZQ,2012,1.411764706
310,AB22 8ZQ,2013,2
311,AB22 8ZR,2012,1.666666667
312,AB22 8ZR,2013,1
313,AB23 8AR,2012,1.2
314,AB23 8BA,2012,1
315,AB23 8BP,2012,2.25
316,AB23 8BR,2012,1.5
317,AB23 8BY,2012,1.615384615
318,AB23 8BY,2013,1
319,AB23 8EA,2012,1.25
320,AB23 8EE,2012,1
321,AB23 8EE,2013,1.888888889
322,AB23 8FE,2012,1
323,AB23 8HP,2012,1.8
324,AB23 8HP,2013,1.5
325,AB23 8HQ,2012,1.666666667
326,AB23 8HS,2012,1
327,AB23 8HS,2013,2
328,AB23 8JW,2012,1
329,AB23 8SH,2012,1.5
330,AB23 8SH,2013,1
331,AB23 8SR,2012,1
332,AB23 8SR,2013,1.75
333,AB23 8TW,2012,1.5
334,AB23 8UN,2012,1.666666667
335,AB23 8UN,2013,1
336,AB23 8UP,2012,3.5
337,AB23 8UP,2013,1
338,AB23 8XY,2012,1
339,AB23 8XY,2013,1
340,AB23 8YD,2012,1.363636364
341,AB23 8YY,2012,1.666666667
342,AB23 8YY,2013,2
343,AB24 1SJ,2012,1
344,AB24 1TN,2012,1
345,AB24 1TN,2013,1
346,AB24 1XN,2012,1
347,AB24 1XQ,2012,1.4
348,AB24 1XQ,2013,1
349,AB24 2BA,2012,2
350,AB24 2BP,2012,1
351,AB24 2BP,2013,1
352,AB24 2BR,2012,1.666666667
353,AB24 2SR,2012,1.333333333
354,AB24 2SR,2013,1.4
355,AB24 2UU,2012,1
356,AB24 3AA,2012,2
357,AB24 3BT,2012,1.25
358,AB24 3DF,2012,2
359,AB24 3DF,2013,1
360,AB24 3DQ,2012,2.4
361,AB24 3DQ,2013,1
362,AB24 3DR,2012,1.357142857
363,AB24 4DP,2012,2.333333333
364,AB24 4EX,2012,1.388888889
365,AB24 4EX,2013,1
366,AB24 4HT,2012,2
367,AB24 4JG,2012,1.333333333
368,AB24 4NE,2012,1.142857143
369,AB24 4NR,2012,1
370,AB24 4RD,2012,2
371,AB24 4RD,2013,1.5
372,AB24 5AP,2012,1.230769231
373,AB24 5AR,2012,1
374,AB24 5AS,2012,1.090909091
375,AB24 5BA,2012,1.166666667
376,AB24 5BA,2013,4
377,AB24 5BW,2012,1.8
378,AB24 5BW,2013,1.666666667
379,AB24 5DD,2012,1
380,AB24 5EF,2012,1
381,AB24 5HD,2012,1.5
382,AB24 5LN,2013,1
383,AB24 5ND,2012,1.75
384,AB24 5NY,2012,1
385,AB24 5NY,2013,2
386,AB24 5PR,2012,1
387,AB24 5RS,2012,1.5
388,AB24 5RS,2013,1.8
389,AB24 5SU,2012,1
390,AB25 1BR,2012,1.4
391,AB25 1BS,2012,1.5
392,AB25 1DL,2012,1
393,AB25 1DL,2013,1
394,AB25 1EP,2012,1
395,AB25 1EP,2013,1.666666667
396,AB25 1HF,2012,1.5
397,AB25 1HU,2012,2
398,AB25 1NA,2012,1
399,AB25 1RX,2012,1.5
400,AB25 1RX,2013,2.25
401,AB25 1SJ,2013,2
402,AB25 1US,2012,2
403,AB25 1US,2013,1
404,AB25 2BW,2012,1.5
405,AB25 2EL,2012,1.375
406,AB25 2EL,2013,2
407,AB25 2NX,2012,1.333333333
408,AB25 2PD,2012,1.333333333
409,AB25 2PD,2013,1.2
410,AB25 2PX,2012,2.5
411,AB25 2QH,2012,2
412,AB25 2QP,2012,1.333333333
413,AB25 2QU,2012,2
414,AB25 2QU,2013,1.555555556
415,AB25 2QW,2012,1
416,AB25 2QW,2013,1
417,AB25 2SG,2012,1.8
418,AB25 2SG,2013,1.166666667
419,AB25 2TA,2012,2
420,AB25 3BD,2012,1.5
421,AB25 3BD,2013,1.4
422,AB25 3DD,2012,1.352941176
423,AB25 3DD,2013,1
424,AB25 3LB,2012,2
425,AB25 3RX,2012,1
426,AB25 3RX,2013,1
427,AB25 3SF,2012,1
428,AB25 3SJ,2012,1
429,AB25 3ST,2012,2
430,AB25 3TT,2012,1
431,AB25 3XJ,2012,5
432,AB30 1AL,2012,1
433,AB30 1BY,2012,1.1
434,AB30 1HB,2012,1.461538462
435,AB30 1HB,2013,3
436,AB30 1HF,2012,1.6875
437,AB30 1HF,2013,2.333333333
438,AB30 1LB,2012,1.571428571
439,AB30 1NG,2012,1
440,AB30 1NJ,2012,1.285714286
441,AB30 1NJ,2013,1.5
442,AB30 1PQ,2012,2
443,AB30 1PQ,2013,2
444,AB30 1QJ,2012,1
445,AB30 1QL,2012,1.666666667
446,AB30 1RR,2012,1
447,AB30 1SN,2012,1.666666667
448,AB30 1US,2013,1
449,AB31 4AU,2012,1.666666667
450,AB31 4ES,2012,1.5
451,AB31 4HD,2012,1.25
452,AB31 4HD,2013,2
453,AB31 4JQ,2012,1.3
454,AB31 4JQ,2013,1.333333333
455,AB31 4NU,2012,1
456,AB31 5AN,2012,1.3
457,AB31 5HR,2012,1
458,AB31 5HR,2013,3
459,AB31 5JE,2012,1.25
460,AB31 5NU,2012,1.142857143
461,AB31 5NU,2013,1
462,AB31 5QE,2012,1
463,AB31 5QX,2012,1.4
464,AB31 5QX,2013,1
465,AB31 6BN,2012,1.5
466,AB31 6BN,2013,1
467,AB31 6BQ,2012,2
468,AB31 6BQ,2013,1
469,AB31 6JA,2012,2
470,AB31 6LS,2012,1.4
471,AB31 6PA,2012,2.25
472,AB32 6AR,2012,1.571428571
473,AB32 6BT,2012,1
474,AB32 6FB,2012,1
475,AB32 6FB,2013,1.5
476,AB32 6FD,2012,1
477,AB32 6FY,2012,1
478,AB32 6HW,2012,1
479,AB32 6HW,2013,1
480,AB32 6RS,2012,2.5
481,AB32 6WY,2012,1
482,AB32 6XJ,2012,1.25
483,AB32 6XL,2012,1
484,AB32 6XL,2013,1
485,AB32 6XQ,2012,1
486,AB32 6XQ,2013,1
487,AB32 6YL,2012,1.2
488,AB32 6YL,2013,1
489,AB32 6YR,2012,2
490,AB32 6YR,2013,1
491,AB32 7AW,2012,1.428571429
492,AB32 7AW,2013,1
493,AB32 7BN,2012,1
494,AB32 7BU,2012,1.090909091
495,AB32 7ED,2012,1.909090909
496,AB32 7ED,2013,1
497,AB33 8AD,2012,1
498,AB33 8DH,2012,3
499,AB33 8DH,2013,1.166666667
500,AB33 8ED,2012,1.5
501,AB33 8ED,2013,1
502,AB33 8HH,2012,1.3
503,AB33 8HH,2013,1
504,AB33 8HY,2012,1.4
505,AB33 8JS,2012,1.333333333
506,AB33 8JS,2013,1
507,AB33 8NB,2012,1.166666667
508,AB33 8NS,2012,1
509,AB33 8PD,2012,1
510,AB33 8RB,2012,1.142857143
511,AB33 8RB,2013,1
512,AB34 4UA,2012,1
513,AB34 4YT,2012,1.25
514,AB34 4YT,2013,1
515,AB34 5AN,2012,1.357142857
516,AB34 5BB,2012,2
517,AB34 5BB,2013,2
518,AB34 5FL,2012,1.111111111
519,AB34 5JQ,2012,1
520,AB35 5SD,2012,1.333333333
521,AB35 5SD,2013,1.666666667
522,AB35 5SS,2012,1.4
523,AB35 5SS,2013,1.5
524,AB35 5UH,2012,1.6
525,AB35 5UR,2012,1
526,AB35 5XU,2012,1.4
527,AB35 5XU,2013,3
528,AB36 8YJ,2012,1.857142857
529,AB36 8YJ,2013,1.5
530,AB36 8YN,2012,1.333333333
531,AB37 9BA,2012,1.4
532,AB37 9EH,2012,1.375
533,AB37 9EH,2013,4
534,AB37 9JN,2012,1
535,AB38 7AQ,2012,1
536,AB38 7AQ,2013,1
537,AB38 9LB,2012,2
538,AB38 9LD,2012,2
539,AB38 9LS,2012,1.375
540,AB38 9LS,2013,4
541,AB38 9NS,2012,2
542,AB38 9NS,2013,1
543,AB38 9RT,2012,1.5
544,AB38 9RT,2013,1
545,AB38 9SR,2012,1
546,AB38 9SR,2013,1
547,AB39 2AU,2012,2
548,AB39 2AU,2013,1
549,AB39 2ED,2012,1.2
550,AB39 2LF,2012,1.5
551,AB39 2PL,2012,1
552,AB39 2RH,2012,1.466666667
553,AB39 2RH,2013,1
554,AB39 2TN,2012,3
555,AB39 2TX,2012,1.4
556,AB39 2UB,2012,1.2
557,AB39 2XQ,2012,1
558,AB39 2XQ,2013,1
559,AB39 2XR,2012,1.5
560,AB39 2XR,2013,1.571428571
561,AB39 3NF,2012,2.5
562,AB39 3NN,2012,1
563,AB39 3NR,2012,1.4
564,AB39 3PB,2012,1
565,AB39 3PB,2013,1
566,AB39 3PQ,2012,1.636363636
567,AB39 3QA,2012,1.2
568,AB39 3RJ,2012,1.333333333
569,AB39 3RR,2012,1.333333333
570,AB39 3SS,2012,1.421052632
571,AB39 3SS,2013,1
572,AB39 3TB,2012,2
573,AB41,2012,1
574,AB41 6AR,2012,1
575,AB41 6AT,2012,1.4
576,AB41 6AZ,2012,1.625
577,AB41 6AZ,2013,1
578,AB41 6BW,2013,1
579,AB41 6HG,2012,2.333333333
580,AB41 6PL,2012,1.6
581,AB41 6QA,2012,1
582,AB41 6QB,2012,1.5
583,AB41 6QT,2012,1.363636364
584,AB41 6QT,2013,1
585,AB41 6RU,2012,3
586,AB41 6RU,2013,1.5
587,AB41 7BX,2012,1.75
588,AB41 7EU,2012,1
589,AB41 7LE,2012,1.5
590,AB41 7ND,2012,1
591,AB41 7NT,2012,2.5
592,AB41 7PD,2012,1.5
593,AB41 7PD,2013,1
594,AB41 7PE,2012,1
595,AB41 8RB,2012,1.666666667
596,AB41 8RB,2013,1
597,AB41 8UX,2012,1
598,AB41 8UX,2013,1.4
599,AB41 9AE,2012,1.25
600,AB42 0NP,2012,1
601,AB42 0PE,2012,1.125
602,AB42 0RX,2012,1.75
603,AB42 0RX,2013,1
604,AB42 0SH,2012,1.333333333
605,AB42 0TG,2012,1.5
606,AB42 1GY,2012,1
607,AB42 1JE,2012,2
608,AB42 1PU,2012,2.1
609,AB42 1PU,2013,1
610,AB42 1ST,2012,1
611,AB42 1ST,2013,1.2
612,AB42 1SY,2012,1.214285714
613,AB42 1SY,2013,1
614,AB42 1TQ,2012,1.75
615,AB42 1UA,2012,1
616,AB42 2AD,2012,1
617,AB42 2AD,2013,1
618,AB42 2GB,2013,1
619,AB42 2GG,2012,1.333333333
620,AB42 2WA,2012,1.083333333
621,AB42 2XE,2012,1.5
622,AB42 2YZ,2012,1
623,AB42 3AL,2012,1.4
624,AB42 3AL,2013,1
625,AB42 3BF,2012,2
626,AB42 3BF,2013,2
627,AB42 3DL,2012,1
628,AB42 3EN,2012,2
629,AB42 3EN,2013,1
630,AB42 3FD,2012,1.25
631,AB42 3LB,2012,1
632,AB42 3NE,2012,1
633,AB42 4EU,2012,1
634,AB42 4EU,2013,1
635,AB42 4NY,2012,2
636,AB42 4NY,2013,1.166666667
637,AB42 4PL,2012,1.5
638,AB42 4PL,2013,1
639,AB42 4QF,2012,2.5
640,AB42 4RN,2012,1
641,AB42 4XD,2012,2
642,AB42 5AT,2012,1
643,AB42 5EB,2012,1
644,AB42 5EB,2013,1
645,AB42 5EE,2013,1.555555556
646,AB42 5FF,2012,1
647,AB42 5FF,2013,1
648,AB42 5SU,2012,1.636363636
649,AB43 6NF,2012,1
650,AB43 6NF,2013,1
651,AB43 6PU,2012,1.285714286
652,AB43 6PU,2013,1.6
653,AB43 6RH,2012,1.5
654,AB43 7AN,2012,1
655,AB43 7AW,2012,1.25
656,AB43 7AW,2013,1
657,AB43 7DA,2012,1
658,AB43 7DL,2012,1.5
659,AB43 7EB,2012,2
660,AB43 7EB,2013,1
661,AB43 7JJ,2012,2
662,AB43 7TQ,2012,1.6875
663,AB43 7TQ,2013,2
664,AB43 8RH,2012,1.125
665,AB43 8RH,2013,2
666,AB43 8RN,2012,1
667,AB43 8RN,2013,1
668,AB43 8TG,2012,1.571428571
669,AB43 8TH,2012,2.333333333
670,AB43 8TH,2013,3
671,AB43 8TL,2012,1
672,AB43 8TL,2013,1
673,AB43 8TX,2012,1.526315789
674,AB43 8UW,2012,1
675,AB43 8YH,2012,1.666666667
676,AB43 8YH,2013,1
677,AB43 8YP,2012,1.166666667
678,AB43 8YP,2013,3
679,AB43 9AU,2012,1.5
680,AB43 9AU,2013,2
681,AB43 9EA,2012,1.272727273
682,AB43 9EA,2013,1
683,AB43 9JA,2012,1.8
684,AB43 9LP,2012,1.75
685,AB43 9QL,2012,2
686,AB43 9QL,2013,1
687,AB43 9RH,2012,1.470588235
688,AB43 9RH,2013,1.5
689,AB43 9RJ,2012,1.333333333
690,AB43 9RU,2012,1.333333333
691,AB44 1UD,2012,1.25
692,AB44 1UD,2013,1
693,AB45 1FQ,2012,1
694,AB45 1LE,2012,1.5
695,AB45 2AR,2012,1.555555556
696,AB45 2AR,2013,1
697,AB45 2AU,2012,1
698,AB45 2BJ,2012,1.142857143
699,AB45 2BJ,2013,1.2
700,AB45 2BQ,2012,1
701,AB45 2JJ,2012,2.333333333
702,AB45 2JJ,2013,1
703,AB45 2LN,2012,1.5
704,AB45 2LP,2012,1
705,AB45 2LP,2013,1
706,AB45 2NZ,2012,1.333333333
707,AB45 2QS,2012,1.090909091
708,AB45 2QS,2013,1
709,AB45 2UJ,2012,1.333333333
710,AB45 3AE,2012,1.363636364
711,AB45 3AE,2013,1
712,AB45 3DB,2012,1
713,AB45 3EL,2012,1.571428571
714,AB45 3LX,2012,1
715,AB45 3YX,2013,3
716,AB51 0AE,2012,1.25
717,AB51 0AE,2013,1
718,AB51 0BP,2012,1
719,AB51 0BP,2013,2
720,AB51 0DA,2013,1
721,AB51 0DX,2012,1
722,AB51 0FW,2012,3
723,AB51 0FW,2013,1.416666667
724,AB51 0HX,2012,3
725,AB51 0JQ,2012,1.5
726,AB51 0LU,2012,1.142857143
727,AB51 0LU,2013,1
728,AB51 0QS,2012,1.2
729,AB51 0SU,2012,1
730,AB51 0SU,2013,1
731,AB51 0TP,2012,1.4
732,AB51 0TP,2013,2
733,AB51 0XE,2012,1.153846154
734,AB51 0XE,2013,1
735,AB51 0YJ,2012,1.692307692
736,AB51 0YJ,2013,1
737,AB51 3NA,2013,2
738,AB51 3QD,2012,1.5
739,AB51 3TR,2012,2
740,AB51 3UR,2012,1.875
741,AB51 3XS,2012,1.2
742,AB51 3XS,2013,1.333333333
743,AB51 4DL,2012,1.375
744,AB51 4DL,2013,1
745,AB51 4GP,2012,1.857142857
746,AB51 4GP,2013,1.5
747,AB51 4JW,2012,1.833333333
748,AB51 4RS,2012,1
749,AB51 4RS,2013,1
750,AB51 4SH,2012,1.5
751,AB51 4SQ,2012,1.428571429
752,AB51 4UZ,2012,2.333333333
753,AB51 5AU,2012,1
754,AB51 5BB,2012,1.333333333
755,AB51 5BB,2013,1
756,AB51 5DN,2012,1.333333333
757,AB51 5DR,2012,1.409090909
758,AB51 5DR,2013,1
759,AB51 5ED,2012,1.75
760,AB51 5HE,2012,1
761,AB51 5HP,2012,1
762,AB51 5JR,2012,1
763,AB51 5LN,2012,1.833333333
764,AB51 5LN,2013,1
765,AB51 5LR,2012,1
766,AB51 5LS,2012,1.727272727
767,AB51 5NN,2012,1
768,AB51 5NU,2012,1.5
769,AB51 5PB,2012,1
770,AB51 5PB,2013,2
771,AB51 5PH,2012,1
772,AB51 6HL,2012,1.363636364
773,AB51 7HD,2012,2.4
774,AB51 7HD,2013,1.666666667
775,AB51 7JS,2012,1.6
776,AB51 7JS,2013,1
777,AB51 7LQ,2012,1.523809524
778,AB51 7LQ,2013,1
779,AB51 7PA,2012,1
780,AB51 7QR,2012,1.666666667
781,AB51 8UJ,2012,1.5
782,AB51 8UJ,2013,1
783,AB51 8ZF,2012,1.75
784,AB51 8ZF,2013,2
785,AB52 6,2012,1
786,AB52 6HQ,2012,1.222222222
787,AB52 6JE,2012,2
788,AB52 6QP,2012,1.5
789,AB52 6QT,2012,1.6
790,AB52 6SG,2012,1
791,AB53 4AD,2012,1.428571429
792,AB53 4AD,2013,1
793,AB53 4BF,2012,1
794,AB53 4EJ,2012,1.25
795,AB53 4JD,2012,1.625
796,AB53 4JD,2013,1
797,AB53 5PU,2012,1
798,AB53 5PU,2013,1
799,AB53 5QN,2012,1.625
800,AB53 5QN,2013,1.5
801,AB53 5RD,2012,2
802,AB53 5SH,2012,1
803,AB53 5SH,2013,1
804,AB53 5SL,2012,1
805,AB53 5SQ,2012,2
806,AB53 5SQ,2013,1.375
807,AB53 5SR,2012,1.571428571
808,AB53 5SR,2013,1
809,AB53 5TA,2012,1
810,AB53 5TD,2012,1.666666667
811,AB53 5TD,2013,3
812,AB53 5XN,2012,1.8
813,AB53 6QB,2012,1.666666667
814,AB53 6SL,2012,1.428571429
815,AB53 6SL,2013,1.142857143
816,AB53 6YW,2012,1.4
817,AB53 6YW,2013,1
818,AB53 8AE,2012,1
819,AB53 8BJ,2012,1
820,AB53 8BJ,2013,2
821,AB53 8DQ,2012,1
822,AB53 8EJ,2012,1
823,AB53 8EJ,2013,2
824,AB53 8JQ,2012,1.5
825,AB54 4JA,2012,2
826,AB54 4JJ,2012,1.333333333
827,AB54 4JJ,2013,1
828,AB54 4NJ,2012,1.2
829,AB54 4NJ,2013,1
830,AB54 4QE,2012,4
831,AB54 4SL,2012,1.181818182
832,AB54 4SL,2013,1.5
833,AB54 4TJ,2012,1.5
834,AB54 4TJ,2013,1.5
835,AB54 4TL,2012,1
836,AB54 4TL,2013,1
837,AB54 4TN,2012,2
838,AB54 6AD,2012,1
839,AB54 6HS,2012,1
840,AB54 6XQ,2012,1
841,AB54 6YN,2012,2
842,AB54 6YN,2013,1.166666667
843,AB54 7JT,2012,1
844,AB54 7JT,2013,1
